               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12089,             0.11102,                   0,                   0,                   0,                   0,                   0,                   0,            0.024377,                   0,                 0.1,                   0,                   0
                   1,             0.12133,             0.16478,                   0,                   0,                   0,                   0,                   0,                   0,            0.024315,                   0,            0.099095,           9.505e-05,           9.505e-05
                   2,              0.1234,             0.17503,                   0,                   0,                   0,                   0,                   0,                   0,            0.024265,                   0,             0.09818,           0.0001802,           0.0001802
                   3,             0.12066,             0.10193,                   0,                   0,                   0,                   0,                   0,                   0,            0.024191,                   0,            0.097255,          0.00025545,          0.00025545
                   4,             0.12631,             0.14966,                   0,                   0,                   0,                   0,                   0,                   0,              0.0241,                   0,            0.096321,           0.0003208,           0.0003208
                   5,             0.12104,             0.17678,                   0,                   0,                   0,                   0,                   0,                   0,            0.024077,                   0,            0.095376,          0.00037625,          0.00037625
                   6,             0.12161,             0.11786,                   0,                   0,                   0,                   0,                   0,                   0,            0.024013,                   0,            0.094422,           0.0004218,           0.0004218
                   7,             0.12491,             0.10746,                   0,                   0,                   0,                   0,                   0,                   0,            0.023915,                   0,            0.093457,          0.00045745,          0.00045745
                   8,             0.12136,             0.22436,                   0,                   0,                   0,                   0,                   0,                   0,             0.02391,                   0,            0.092483,           0.0004832,           0.0004832
                   9,             0.12084,             0.12403,                   0,                   0,                   0,                   0,                   0,                   0,            0.023933,                   0,            0.091499,          0.00049905,          0.00049905
                  10,             0.12046,             0.15531,                   0,                   0,                   0,                   0,                   0,                   0,            0.023962,                   0,            0.090505,            0.000505,            0.000505
                  11,              0.1198,            0.061796,                   0,                   0,                   0,                   0,                   0,                   0,            0.023945,                   0,            0.089501,          0.00050105,          0.00050105
                  12,             0.12014,             0.15579,                   0,                   0,                   0,                   0,                   0,                   0,            0.023904,                   0,            0.088487,           0.0004872,           0.0004872
                  13,             0.12295,             0.17048,                   0,                   0,                   0,                   0,                   0,                   0,            0.023812,                   0,            0.087463,          0.00046345,          0.00046345
                  14,             0.11873,             0.15974,                   0,                   0,                   0,                   0,                   0,                   0,            0.023846,                   0,             0.08643,           0.0004298,           0.0004298
                  15,             0.12392,              0.1494,                   0,                   0,                   0,                   0,                   0,                   0,            0.023819,                   0,            0.085386,          0.00038625,          0.00038625
                  16,             0.12082,             0.19437,                   0,                   0,                   0,                   0,                   0,                   0,            0.023967,                   0,            0.084333,           0.0003328,           0.0003328
                  17,             0.11788,             0.11936,                   0,                   0,                   0,                   0,                   0,                   0,            0.023967,                   0,            0.083269,          0.00026945,          0.00026945
                  18,             0.12362,             0.12214,                   0,                   0,                   0,                   0,                   0,                   0,            0.024013,                   0,            0.082196,           0.0001962,           0.0001962
                  19,             0.11901,             0.20276,                   0,                   0,                   0,                   0,                   0,                   0,            0.024013,                   0,            0.081113,          0.00011305,          0.00011305
