               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11115,            0.048363,                   0,           0.0016667,             0.12644,           0.0019196,          0.00069874,              0.1077,            0.033882,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11684,            0.042697,                   0,           0.0016667,             0.12644,           0.0019198,          0.00071726,              0.1072,            0.034126,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.11598,            0.047539,                   0,           0.0018182,             0.13793,           0.0020019,          0.00074726,              0.1066,            0.034424,                   0,            0.095495,          0.00049505,          0.00049505
                   3,              0.1144,            0.044116,                   0,           0.0019697,             0.14943,           0.0020856,          0.00076621,             0.10592,             0.03476,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.10663,            0.045021,                   0,           0.0019697,             0.14943,           0.0020856,          0.00077491,             0.10531,            0.034569,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.11353,            0.048425,                   0,           0.0018182,             0.13793,           0.0020028,          0.00075504,              0.1046,            0.034683,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.11132,            0.055169,                   0,           0.0018182,             0.13793,           0.0012111,          0.00041971,             0.10394,            0.035072,                   0,            0.088261,           0.0012614,           0.0012614
                   7,              0.1089,            0.050324,                   0,           0.0019697,             0.14943,            0.001785,          0.00048017,              0.1032,            0.035179,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.11299,            0.043084,                   0,           0.0019697,             0.14943,           0.0022771,          0.00063781,             0.10291,            0.035355,                   0,            0.084633,           0.0016327,           0.0016327
                   9,              0.1083,            0.048605,                   0,           0.0019697,             0.14943,           0.0022771,          0.00063781,             0.10291,            0.035355,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.10945,            0.059009,                   0,           0.0019697,             0.14943,            0.001785,          0.00046576,             0.10257,            0.035545,                   0,            0.080996,            0.001996,            0.001996
                  11,              0.1117,            0.052006,                   0,           0.0019697,             0.14943,           0.0022771,          0.00055108,             0.10219,            0.035759,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.10949,            0.048733,                   0,           0.0019697,             0.14943,           0.0022771,          0.00054146,             0.10185,            0.035416,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.10892,            0.055512,                   0,           0.0022727,             0.17241,           0.0018077,           0.0004015,             0.10149,            0.035629,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.10689,            0.051811,                   0,           0.0022727,             0.17241,            0.002512,          0.00048313,             0.10114,            0.035812,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.11012,            0.056768,                   0,           0.0022727,             0.17241,           0.0019495,          0.00040152,              0.1008,            0.036003,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.10825,            0.058149,                   0,           0.0022727,             0.17241,           0.0017605,          0.00038788,             0.10051,            0.036171,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.10627,            0.047187,                   0,           0.0021212,             0.16092,           0.0013243,          0.00030243,             0.10022,            0.035828,                   0,            0.068205,           0.0032055,           0.0032055
                  18,             0.10685,            0.048674,                   0,           0.0021212,             0.16092,           0.0017797,          0.00039305,            0.099921,            0.035995,                   0,             0.06637,           0.0033703,           0.0033703
                  19,             0.10688,            0.052015,                   0,           0.0021212,             0.16092,           0.0017164,          0.00037775,            0.099628,            0.036163,                   0,            0.064533,           0.0035332,           0.0035332
                  20,             0.10409,            0.050417,                   0,           0.0021212,             0.16092,           0.0015442,          0.00033778,            0.099345,            0.036324,                   0,            0.062694,           0.0036941,           0.0036941
