               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13058,            0.047122,                   0,           0.0015152,             0.11494,          0.00089567,          0.00016014,             0.13039,            0.035683,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.13189,            0.043318,                   0,           0.0015152,             0.11494,          0.00090411,          0.00013623,             0.12985,            0.034943,                   0,            0.097299,          0.00029851,          0.00029851
                   2,              0.1316,            0.045818,                   0,           0.0013636,             0.10345,          0.00082569,          0.00015324,             0.12892,            0.034035,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.13127,            0.041824,                   0,           0.0016667,             0.12644,           0.0010843,          0.00022706,             0.12645,              0.0326,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.12424,            0.042021,                   0,           0.0016667,             0.12644,           0.0011241,          0.00028212,             0.12562,            0.030861,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.13035,            0.040202,                   0,           0.0012121,            0.091954,            0.001004,          0.00018954,             0.12474,            0.029945,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.12517,             0.04622,                   0,           0.0013636,             0.10345,            0.001095,          0.00019167,             0.12477,            0.028831,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.12214,            0.043255,                   0,           0.0010606,             0.08046,          0.00061937,          0.00014467,             0.12385,             0.02813,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.12351,            0.036917,                   0,           0.0012121,            0.091954,           0.0011347,          0.00022953,             0.12242,            0.027985,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.12013,            0.041018,                   0,           0.0015152,             0.11494,          0.00097269,          0.00024178,             0.12079,            0.027954,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.12066,            0.047568,                   0,           0.0016667,             0.12644,          0.00095799,          0.00022487,              0.1192,            0.027779,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11975,            0.042749,                   0,           0.0018182,             0.13793,           0.0013273,          0.00022574,             0.11831,            0.027519,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.11731,            0.041185,                   0,           0.0021212,             0.16092,           0.0014227,          0.00034607,             0.11589,             0.02787,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.11774,            0.043657,                   0,           0.0019697,             0.14943,           0.0022936,          0.00056599,             0.11504,            0.027748,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.10975,            0.044793,                   0,           0.0022727,             0.17241,           0.0035188,           0.0011482,             0.11354,            0.027916,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.11433,            0.046179,                   0,           0.0021212,             0.16092,           0.0039568,          0.00080503,             0.11167,            0.028175,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.11382,            0.044648,                   0,             0.45472,            0.011494,            0.014567,           0.0019221,             0.11061,            0.027916,                   0,            0.070039,           0.0030386,           0.0030386
