               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12948,            0.044937,                   0,          0.00090909,            0.068966,           0.0004942,          8.0849e-05,             0.12422,            0.031006,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.12123,            0.040726,                   0,           0.0013636,             0.10345,          0.00088173,           0.0001999,             0.11468,            0.028938,                   0,            0.084692,           0.0016916,           0.0016916
                   2,              0.1152,            0.040956,                   0,           0.0052595,             0.25287,            0.010935,           0.0024268,             0.10818,            0.028458,                   0,            0.076574,           0.0025743,           0.0025743
                   3,             0.10875,            0.040912,                   0,             0.22412,             0.18391,             0.13781,            0.031823,            0.098711,            0.025654,                   0,            0.068448,            0.003448,            0.003448
                   4,            0.097639,            0.039203,                   0,             0.31194,             0.22989,             0.19018,            0.050777,            0.084249,            0.031532,                   0,            0.060313,           0.0043129,           0.0043129
                   5,            0.089496,            0.036889,                   0,             0.25046,             0.37931,             0.19353,            0.050266,            0.087355,            0.028671,                   0,            0.052169,           0.0051688,           0.0051688
                   6,            0.086876,            0.035349,                   0,            0.095956,             0.56322,            0.072541,             0.02194,             0.10434,            0.030239,                   0,            0.044016,           0.0060159,           0.0060159
                   7,            0.083868,            0.034774,                   0,             0.16422,             0.42529,             0.13725,            0.034581,            0.086116,            0.039417,                   0,            0.035854,            0.006854,            0.006854
                   8,            0.082214,            0.035939,                   0,            0.036212,             0.68966,            0.031223,           0.0096525,            0.092012,            0.032978,                   0,            0.027683,           0.0076832,           0.0076832
                   9,             0.08147,            0.034523,                   0,               0.204,             0.22391,             0.17954,            0.049204,            0.092706,            0.031055,                   0,            0.019504,           0.0085035,           0.0085035
                  10,            0.082321,            0.033228,                   0,             0.29845,             0.35632,             0.30031,             0.11004,            0.087578,            0.025799,                   0,            0.011315,           0.0093149,           0.0093149
                  11,            0.083279,            0.030415,                   0,             0.45103,             0.45977,             0.40925,             0.12935,            0.077307,            0.019733,                   0,           0.0094555,           0.0094555,           0.0094555
